clade_name	ncbi_tax_id	5c7657ee-666d-4545-a5f4-e3b97972700c	ef1f9867-c5fc-4ba0-838d-848b58467b10	d479236c-8606-41ad-b8e4-006d816e0494	612c986d-545e-45af-8807-2df49f08a01a	0d28bae3-3b00-457b-a62c-3d9edb9fae8a	adbacf26-5d01-459f-86e0-1967c4c3c9eb	d25be762-5047-437f-a749-1049b8be57a3	4f381a59-5b94-4500-a3e0-66a29d472108	76bc6a3b-9d77-4a38-a663-d1472b59c043	dfc17ebb-83f0-4a37-a961-974e60e5f57e	2bcd07f9-960c-4bf9-a147-93daa514d7e8	fdb23de2-cc37-43b6-97a7-b63fa41b3fd2	bec7eb37-dfcd-41d9-bdfc-0bc5ba8f8330	36ff5b45-340f-4508-97f8-2db37a2c0c1a	0fe3ff8e-33c6-4901-8926-4a941a907c76	b1c1e4d6-33bc-4e44-b0ac-1dee48a9c90b	fd90b87b-1ece-4b8b-8bac-a373b6bfc0d2	8cafea18-38fb-4044-aa6e-e3575baf4f75	9e528736-741f-4de9-9adf-e99566a3ec5c	e35b993e-9261-4c7c-ac5d-5598630adf6f	69d5e82f-530b-4de1-b71c-d97e4fee1b23	8026eead-3968-4929-8ac4-126ead00a55d	5a6ae85c-b6fe-4bed-9d79-2fc3d722416f	667fd635-ee7a-4d22-a128-8d7567559348	3a95fb07-9cd4-4410-ab14-6e08cbe8fb4d	64cfc38a-c2fe-4a3c-a92b-4d5eec3c9bec	7eac574e-7a22-47fe-9e95-027a9469978d	5155defe-cf3b-434d-a79b-f97cbd8b7bb3	a55db179-101c-459f-8fbf-a4d0de76765b	888698af-80c8-466d-9e54-b0e61d24495a	40fcafa2-7823-4086-902c-76edd44c8ad7	e76d515a-fbc3-4b37-b542-c6fe625bd623	f498cd34-8ff0-4a82-b15d-8688abc9435d	216699da-5299-480f-87a1-4c4c5ae57e7b	c88e4fdb-0d46-4ae4-b1e8-98933a35feeb	672ea0fc-3873-4ec8-9d2d-57f3c422c197	135f44a7-adf5-43f1-8c2d-4ba8f92187a2	253c2ac0-4eed-4fd8-8b7a-9b091fdec2fc	e9749d55-fecc-4517-a466-9ead9e6d8413	6f87b662-221b-4811-8fe4-c5237d03d957	f3035faf-d71d-4cb0-bb63-64d7b3c38491	2f242b7c-f644-4a6d-ae13-41f3a2d6f125	c80e6d15-520b-4bd0-a67a-62f8a17c035e	a6a8e3b9-4007-4fe4-a891-b85a100f0b29	3eff4ead-173f-43c0-8bf3-928eda3af235	f47bfcd5-7b4b-4670-980b-3e4c9c4a88cf	4a571d8f-049d-4057-8034-883f1fc99ab2	700a1335-1157-4209-88da-172a9d744849
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.02274376362992163	0.0315652873718975	0.01871035942653578	0.05263637928440153	0.03432747845985216	0.01128360680926291	0.02079321741477366	0.02340117027752671	0.02653334598949047	0.02694768654418295	0.01750208336005776	0.01814019622038783	0.02204522686859838	0.02240617954725769	0.01174433938182705	0.0103637868347071	0.00909191404176588	0.01914075911755221	0.02108956231164406	0.0203947796508552	0.03145023188627856	0.02281499138520357	0.01356353238974404	0.04807098857906897	0.03273427318806411	0.02677760485793102	0.01641504139279485	0.01459647007816965	0.03610898577327496	0.03390649410044246	0.09397546336776474	0.01409156161244737	0.01333781146675241	0.01420700620394454	0.02281484843225051	0.01481227392356281	0.02558063549638857	0.03239634671576164	0.0249542161693187	0.03951750822659188	0.00671258614135178	0.01242299294875326	0.01478169330053441	0.01514672150059603	0.02120642467041774	0.01047970658158705	0.03907521753218813	0.01859456987257107
k__Bacteria|p__Firmicutes|c__CFGB2846|o__OFGB2846	2|1239||	0.02142517899923111	0.01098950932662582	0.03757390308229466	0.01089592375472079	0.01517434921017269	0.03780335236870247	0.01496611741799636	0.05701932208798666	0.03294775431473541	0.02245399337986028	0.03792118061345848	0.02677171583602138	0	0	0.00783488944464977	0.01042815818150653	0.02591973538557218	0.03324367651420839	0	0	0.00694747611726678	0.00552220148253266	0	0	0.06413813640723715	0.01176033076233287	0.02876089957557981	0.00879956419307953	0.00156561808666271	0.06170656869729005	0.03057670806564442	0	0.07740995642412635	0.03035171107885623	0.00409983965171889	0.01425699393713909	0.03938958334069653	0.00755744159825297	0	0	0.04765429276832374	0.00635631397251899	0.027740025382131	0.09435712136399248	0.01472954655612566	0.00790020496157848	0.04338652189555842	0.01374518162468632
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.01822706489495962	0.02274927572611023	0.07208412158012734	0.04234991374788478	0.02992103684220261	0.10600632540060909	0.03907125225721181	0.09865199234643614	0.1925520053386831	0.10464299009544298	2.698940378248488	0.18062062908751875	0.2309783680016209	0.06725061620733824	0.05791422360922751	0.05646171756144392	0.00910673378755523	0.02591107129450299	0.18007415357105072	0.18916951844427404	0.06305132325396064	0.06915519949079195	0.1094782473116901	0.09894807226381044	0.13313381618926265	0.21828433655990415	0.05617511061117424	0.06479258055851721	0.20157332865782504	0.1300690572590815	0.1256748410188249	0.11122919839302065	0.14814397240418728	0.03426886916800967	0.08408467433849398	0.05042951876702765	1.3087405428105936	0.04747711053710617	0	0	0.08811083944764676	0.12160755857522491	0.0995212371293756	0.1681331436031731	0.6508033721377957	1.423084093741802	0.12884847872542646	0.41622866143208215
k__Bacteria|p__Firmicutes|c__CFGB78117|o__OFGB78117	2|1239||	0.01723630517245182	0	0	0	0	0	0.01242750146765773	0.01030110338687205	0.00147449059518466	0.0018090552191315	0.01312656252004331	0.01435146771275706	0	0	0	0	2.9639491578698e-4	0	5.7954899999878e-4	0	0.00453372441481067	0.00303242277942544	0	0	0.00287739830481092	0.00674433077029932	0.00133940914247195	0.00319563120696046	0.00472755265384428	9.6743021286357e-4	0.00186042388440322	5.6920859957063e-4	0	0.00145327400322536	0.00343930993005307	0.0077811312383273	0	7.7621578492214e-4	0	0	0.00339611963354259	0	0.00426230165281619	0.00668148792740863	0	0	0	6.2191829802418e-4
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629	2|1239||	0.0167336403132383	0.00337845428986484	0	0.05329043200637659	0.04782936542693084	0	0	0	0.00772423499609426	0.04073992353484158	0.03621831648200434	0.02594615631684892	0.01505430807783565	0.03213370130488962	0	0.05988949177851319	3.5567389894438e-4	0.02647336433725761	0.02890218389604324	0.01271461059034042	0.00608995906507842	2.4738185832154e-4	0	0	0.00604098945176703	0.01527844407986942	0.02689737381214057	0.04063237360734269	0.23656949765381527	0	0	0.03107295149963796	0.00258877353363127	0	0.00158678979112823	0.02307657086436271	0.00261933453286373	0	0.06344625175291202	0.01297014334777699	0.00440988668833143	0.0046185039948106	0.01018432954338349	0.0092664074649355	0.0634448660326554	0.06875334317927316	0.0035310869692529	0.01085601687310563
k__Bacteria|p__Firmicutes|c__CFGB79152|o__OFGB79152	2|1239||	0.01398719608246301	0.02144517711760709	0	0	0	0	0	0	0.01712504813087565	0	0	0	0	0.0112993224703243	0	0	0	0	0.00610408102596121	0	0	0	0	0	0	0	7.0610155880314e-4	0	0.02722180075192482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.00497565360641783	0.01749474975383736	0.00859290581070532	0	0.0052999488434121	0.01224267705963168	0.00591302238278875	0.0015983152248376	0.01838996645872442	0.00403781124910152	0	0	6.1964962009033e-4	0	0	0	0.00342336127733972	3.0394218527276e-4	0.00157306157142527	0.01021250826846011	2.6201909927977e-4	0	0.01555241574497094	0.0347830730368873	0	0	0	0.00463906849126386	0.00442056871528297	0	0	0	0	2.5891663275854e-4	1.5943820867795e-4	0	0	0.01151528911697688	0	3.5276164702998e-4	0.00141927387670436	0	0.00466749303480237	0.00818557853550175	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB79257|o__OFGB79257	2|1239||	0.00311069412875609	0	0.00342840893975509	0	0	0	0.0685113861551389	0.01654141546087917	0	0	0	0	7.0703610497486e-4	0	0.0145824881092257	0	0	0	1.354789870127e-4	0.01534521967799705	0	0	0	0	0	0	0	0.00525658176797119	0.0178971636181248	0	0	0	0	0.01581061889715874	6.073836521065e-4	0.00466579417163833	0	0.00333516892202812	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.00233848434503678	0.00920495333604259	0.3408494989956092	0.06426067993404909	0.00827066944872522	0.07111651220158749	0.4508816261581442	0.11564460684207808	0	2.7497639330798e-4	0.0033446389667126	0.00690668990593393	0.12399347782525531	0.00414602534929571	0.11317417854945122	0	0.06781515673206309	0.05176895270658326	0.1044768788179626	0	0.0301083764990579	0.2915913904215945	0.03781323723318668	0.0896621642260976	0	0	0.09578959187928492	0.1980210700081249	0.35161172862966894	0.1517472334689284	0.13194575256021854	0.06852395833292638	0	0.5655073345424322	0.08876152845971405	0.09435432912166308	0	0.7239449021748608	0.29104347460450364	0.15966976595685234	0.07186884299127994	0.05721465372554354	0.02509848925725954	0.00385470457350498	0.03052139625461992	0.10063906320451343	0.02239304355899789	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.00220735438176369	0.01379599054258578	0.00287402791970958	0.00149391587632938	0.00242087000484385	0	0.00399929651253347	0.00442786849368887	0.00672128200241535	7.959842964178639e-5	4.352612353941e-4	0.00137101848719713	0.00409127633777591	0	0.00107929599492624	0	0.00136341661262014	0.00110179042161376	7.8276748051783e-4	0.00272887896736794	0.00544682127593716	0.00244189834343207	0.01436234619635157	0.00806654637619498	0.00761891755440528	0.00576878406434486	9.1720408669275e-4	0.0010188969065671	0.00639294052053943	0.00716672301689333	0.00637515943146795	0	0	0.00545395358681704	4.4794544342854e-4	0.00105286854568654	4.6719124708973e-4	0.00369342236122295	0.00153213858722202	0.00273185182467409	0.0027806182074208	0.0014403470085511	0.00313244106843164	0.0010354794638631	0.00364671227977277	0.00358820225350445	0.00419065218902223	0.0010706441586239
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833	2|1239||	2.6954492450579e-4	0.10497612483067628	0.29313625883616645	0.03523709039640606	0.04821884293559656	0.2900533595831196	0.10811379498042156	0.04277978644852432	0.1285276776675685	0.02739633223852756	0.32187186549292957	0.11405252178710322	0	0	0.04004587880433747	0.0795147061339873	0.18746978423527055	0.2261481829521989	0.27558683941500617	0.1906360074184275	0.18967006798773603	0.4898160794766686	0.12528334905671035	0.07616320531942244	0.1039653511154938	0.12530014068920564	0.04431697206178939	0.0705277351159366	0.09142749150202437	0.3862368381836524	0.08689462591117833	0.05117039359217037	0	0.16759423073977142	0.08337099854726884	0.10128451180936698	0	0.14219249598518863	0.06151339999672423	0.04357836904705336	0.1407470731709328	0.25415862322628924	0.33241277606789565	0.06724569919700746	0.04489419921815912	0.07937164984790546	0.14188695703330562	0.00891153814384016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	17.545560620835488	12.354526880653658	12.761238344530623	15.739206458197955	18.0531531234407	18.64665068595772	20.86863383631372	20.555182657392304	12.8950340022442	20.178498599248787	25.855105366885812	25.30769659477605	11.404238158015849	16.232226541715942	18.941796611873393	13.096342459924266	22.65580493343429	25.61099677353783	22.04272472477193	16.26972758787804	12.286758402881365	16.51133455241298	13.843695954508409	12.772406950512275	14.600243866161197	21.23140675341641	24.40155958068441	14.94627591159244	13.506832820790123	12.492256070989836	13.07760110429	14.311115585866371	13.297854310037668	7.918004715733983	22.73129521860761	23.59158944605653	18.599634116186714	9.013630940610714	10.503965012188113	6.180769632649347	14.660338821065045	21.738202387371345	16.02951132992871	20.63690164219657	14.510474279736014	23.49460125535238	9.442247207956605	14.750052019006535
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	9.90967344949646	26.444008246921523	11.72981975122307	13.795547578920472	9.327123372574071	3.0806498951239374	10.87407940645252	10.904486502851418	7.775146087609217	3.0227937829720974	4.156866976606109	6.193612871248714	17.30767980974594	4.803398919813739	4.701437338254164	1.530943740930678	4.22552447742563	5.285957325288825	6.2284055763765425	10.97305666365353	11.947578648850048	7.9500629005199714	17.035910797776612	18.86991873598316	15.637004509127962	5.227324916659638	5.776260162090404	10.527065303584266	10.312734011445794	18.677633358837777	28.280608191415215	5.485463274062204	4.291215728685534	24.90243469572774	4.215113476593056	7.932354891772832	13.26581121351099	22.695440671430788	5.563022353542046	29.31583828470623	4.358901446668804	3.855722834189705	11.071581787803812	5.821359730418697	8.11634482365322	4.599466988610682	27.28285901141049	7.035950642752021
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	7.210341300526009	4.907223921797818	9.63796509490084	8.866487347439742	6.22075767885074	9.756025870936904	5.50960896933894	5.855110457379992	9.07514531606525	7.504605072615509	7.158008466972523	8.267160396060207	5.4086355416361656	9.23493866081347	6.616947885693818	8.400227411192557	10.851603246920346	8.354557627802635	9.29808093749997	7.530564507486587	5.511349434114336	7.045706647035898	3.926903463992243	5.4203205273367665	7.411597912566982	12.32837547812289	9.406553937220307	9.974020412965176	8.866371510315682	5.983385598843727	3.581460320708623	12.051401230847848	9.462319000956754	4.888421195826277	10.59021988139856	10.630179100098315	7.06001797194325	3.357047971350376	4.404049869199627	4.525078740434483	7.565135269656205	7.009894911567678	6.574152251306209	7.382363917802979	6.735271462220145	7.681948324506414	3.654739361003071	7.001548326772709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	5.599875941585504	2.4444298864858225	2.0376712060998874	5.284641939716308	3.991984090731938	3.35936878811179	2.2075882415404755	2.498939087989166	2.687390092391129	3.983908639792286	4.6803106110586565	3.843126983090537	2.017634772595414	2.503589837228874	5.259721179896346	5.0298241569582665	5.291886695571165	3.5486465899336106	4.145762375134158	2.782307545044838	2.017523244536159	2.7728473895066306	0.9810330172882482	1.9304136550218025	2.6008045252901386	5.805993105633395	3.961426288618529	2.5069804007764422	2.7807219122761255	1.2331175070827205	0.8885448624457551	3.16091751906181	2.494431028578202	1.148921677492423	3.700492492754519	3.24211397787506	1.9531427911324923	0.91420306791869	1.68075603018256	1.4492679023876884	2.3602669393458635	4.726389116940228	3.380877930582906	5.06434110164789	2.5547359981363775	4.324761616087024	1.089577612624071	1.895788037198647
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118|f__FGB8118	2|1239|||	5.069520805127488	0	0	2.550062373973195	4.032520298888755	0	2.834556081140108	0.01245003438294558	1.703770140373959	0.28512881119775535	0	0	3.2155287073926075	16.99064444376419	13.875972956161837	13.888906620973811	0	0	0	0	1.8610105025663728	3.448710586560996	0	0	0	0	0.6303594276758627	4.798896365107637	4.267299309357769	0	0	4.058464612484772	1.4149265344753412	0.22306085519620625	8.144878113426477	0.03612204483112277	3.194132944242172	1.4503719888927145	2.56978140969838	1.414008145203156	0	0	0	0	4.604037674296249	3.6517118933905186	0.9414328294812466	2.753641669296052
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	4.823113034141431	2.230611098844873	2.231974459138731	5.321937809703476	5.319499086984344	4.53476750540844	3.8708269231943393	2.364573544925067	4.814907872594425	6.340101755618805	5.360959913108721	4.129574023041976	3.464000260822933	4.267535167656506	6.758711415931096	4.399749368067164	6.4528952202003795	7.093828238955112	3.1818820688115053	2.679857415835038	2.3657704473970975	2.6015554027688217	1.6576364626461113	1.9773043640438897	2.1285708658672435	4.038709592360576	2.7356267031387485	2.108205764510762	4.134098978416014	3.1059076103525367	2.409008358248162	8.644826415794416	6.9532839129877395	1.5327196487350212	2.1365175500585316	2.6338227813188535	4.388603103338359	1.2969456886356303	4.362949269457276	2.7208505835422954	4.639063213452947	4.55982551015789	3.0162914003569155	5.4435608909939	3.1482067111278327	5.126016419300372	1.855011093644673	3.6852201730516394
