Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp003611805	SGB29426	UBA3282 sp003611805 [SGB29426]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp003612565	SGB29427	1XD42-69 sp003612565 [SGB29427]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	1XD8-76 sp003611955	SGB29429	1XD8-76 sp003611955 [SGB29429]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp003612485	SGB29430	Acetatifactor sp003612485 [SGB29430]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia muris	SGB33553	Adlercreutzia muris [SGB33553]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia mucosicola	SGB33554	Adlercreutzia mucosicola [SGB33554]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	Parvibacter caecicola	SGB33555	Parvibacter caecicola [SGB33555]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	NM07-P-09 sp004793665	SGB33580	NM07-P-09 sp004793665 [SGB33580]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp910585445	SGB35575	Cryptobacteroides sp910585445 [SGB35575]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002428825	SGB35895	Alistipes sp002428825 [SGB35895]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002473395	SGB35903	Muribaculum sp002473395 [SGB35903]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp002490635	SGB35935	CAG-873 sp002490635 [SGB35935]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002361155	SGB35950	CAG-485 sp002361155 [SGB35950]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002491945	SGB35952	CAG-485 sp002491945 [SGB35952]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002361215	SGB35953	CAG-485 sp002361215 [SGB35953]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp002358555	SGB36974	UBA3402 sp002358555 [SGB36974]
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp003979185	SGB39776	Nanosyncoccus sp003979185 [SGB39776]
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus		SGB39778	Nanosyncoccus  [SGB39778]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp009774765	SGB40070	Cryptobacteroides sp009774765 [SGB40070]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Avirikenella	Avirikenella sp910588925	SGB40184	Avirikenella sp910588925 [SGB40184]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp910587675	SGB40190	Alistipes sp910587675 [SGB40190]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp003979135	SGB40192	Alistipes sp003979135 [SGB40192]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp009775365	SGB40283	CAG-485 sp009775365 [SGB40283]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp009775355	SGB40294	CAG-485 sp009775355 [SGB40294]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp003979075	SGB40295	CAG-485 sp003979075 [SGB40295]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp910578395	SGB40300	UBA7173 sp910578395 [SGB40300]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp013316675	SGB40306	UBA7173 sp013316675 [SGB40306]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp013316535	SGB40307	UBA7173 sp013316535 [SGB40307]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp009775265	SGB40310	CAG-873 sp009775265 [SGB40310]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp910587235	SGB40319	CAG-873 sp910587235 [SGB40319]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp011959565	SGB40323	CAG-873 sp011959565 [SGB40323]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp003979155	SGB40326	CAG-873 sp003979155 [SGB40326]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp910578365	SGB40327	CAG-873 sp910578365 [SGB40327]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp910587545	SGB40352	CAG-873 sp910587545 [SGB40352]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp009775535	SGB40368	CAG-873 sp009775535 [SGB40368]
Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium	SGB4047	Faecalibaculum rodentium [SGB4047]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter sp910589025	SGB40791	Odoribacter sp910589025 [SGB40791]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter sp910578105	SGB40793	Odoribacter sp910578105 [SGB40793]
Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp009773975	SGB40880	Desulfovibrio sp009773975 [SGB40880]
