"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB41420"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41420"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.456443726896409	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41431"	"cohort"	"Fp7"	"cohortFp7"	1.32183207143506	0	1.01981322694043	0.194923420814039	0.730417430354259	0.125544411478143	0.654200538055717	NA	"prevalence"	32	27
"t__SGB41437"	"cohort"	"Fp7"	"cohortFp7"	-1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.262737310652717	0.722032743179859	NA	"prevalence"	32	2
"t__SGB41437"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.262737310652717	0.722032743179859	NA	"prevalence"	32	2
"t__SGB41465"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.362432200752475	0.783909384357727	NA	"prevalence"	32	30
"t__SGB41465"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.454600071285927	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41480"	"cohort"	"Fp7"	"cohortFp7"	-1.02543487586944	0	0.861285845324781	0.233816147391309	0.730417430354259	0.359848018185971	0.781801785703532	NA	"prevalence"	32	25
"t__SGB41489"	"cohort"	"Fp7"	"cohortFp7"	0.906170948655554	0	0.797850015053937	0.256054495210753	0.730417430354259	0.132570805233448	0.654200538055717	NA	"prevalence"	32	9
"t__SGB41489"	"genotype"	"ASO"	"genotypeASO"	-0.906170948655551	0	0.797850015053938	0.256054495210755	0.730417430354259	0.446545085903875	0.792527038992554	NA	"prevalence"	32	9
"t__SGB41495"	"cohort"	"Fp7"	"cohortFp7"	1.06867443062101	0	0.880763878897776	0.224996217081422	0.730417430354259	0.399369136461894	0.792527038992554	NA	"prevalence"	32	7
"t__SGB41495"	"genotype"	"ASO"	"genotypeASO"	1.06867443062101	0	0.880763878897776	0.224996217081422	0.730417430354259	0.399369136461895	0.792527038992554	NA	"prevalence"	32	7
"t__SGB41514"	"cohort"	"Fp7"	"cohortFp7"	0.874193470166265	0	0.782197225301547	0.263732487515755	0.730417430354259	0.426541702558156	0.792527038992554	NA	"prevalence"	32	23
"t__SGB41516"	"cohort"	"Fp7"	"cohortFp7"	-1.80818636089311	0	1.61453176587805	0.262737310652718	0.730417430354259	0.00662020808744683	0.348079934481791	NA	"prevalence"	32	30
"t__SGB41516"	"genotype"	"ASO"	"genotypeASO"	1.80818636089312	0	1.61453176587805	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41537"	"genotype"	"ASO"	"genotypeASO"	1.16599830465663	0	0.922696190789988	0.206342734106404	0.730417430354259	0.370108144294301	0.792527038992554	NA	"prevalence"	32	25
"t__SGB41548"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.45644372689641	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41548"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652715	0.730417430354259	0.456443726896409	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41561"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652716	0.730417430354259	0.189684748033493	0.690936784326256	NA	"prevalence"	32	30
"t__SGB41561"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089311	0	1.61453176587804	0.262737310652716	0.730417430354259	0.054271338870238	0.596160635835187	NA	"prevalence"	32	30
"t__SGB41570"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089313	0	1.61453176587804	0.262737310652713	0.730417430354259	0.262737310652713	0.722032743179859	NA	"prevalence"	32	2
"t__SGB41570"	"genotype"	"ASO"	"genotypeASO"	-1.80818636089312	0	1.61453176587804	0.262737310652714	0.730417430354259	0.262737310652714	0.722032743179859	NA	"prevalence"	32	2
"t__SGB41650"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896411	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41650"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41658"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896411	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41658"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41671"	"genotype"	"ASO"	"genotypeASO"	-0.97762921758739	0	0.832052376247475	0.240010258705452	0.730417430354259	0.313724152003805	0.74256247966016	NA	"prevalence"	32	23
"t__SGB41675"	"cohort"	"Fp7"	"cohortFp7"	1.02543487586944	0	0.861285845324781	0.23381614739131	0.730417430354259	0.412962304001705	0.792527038992554	NA	"prevalence"	32	25
"t__SGB41693"	"cohort"	"Fp7"	"cohortFp7"	1.02543487586944	0	0.861285845324781	0.233816147391307	0.730417430354259	0.412962304001701	0.792527038992554	NA	"prevalence"	32	25
"t__SGB41712"	"cohort"	"Fp7"	"cohortFp7"	1.80818636089312	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896411	0.792527038992554	NA	"prevalence"	32	30
"t__SGB41712"	"genotype"	"ASO"	"genotypeASO"	1.80818636089311	0	1.61453176587804	0.262737310652717	0.730417430354259	0.456443726896412	0.792527038992554	NA	"prevalence"	32	30
